product_id,Date,store_id,Sales Quantity,Price_x,Promotions,Seasonality Factors,External Factors,Demand Trend,Customer Segments,Stock Levels,Supplier Lead Time (days),Stockout Frequency,Reorder Point,Expiry Date,Warehouse Capacity,Order Fulfillment Time (days),Price_y,Competitor Prices,Discounts,Sales Volume,Customer Reviews,Return Rate (%),Storage Cost,Elasticity Index
1000,9/4/2024,22,245,60.79,No,Holiday,Weather,Decreasing,Premium,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1000,N/A,42,N/A,N/A,N/A,N/A,N/A,N/A,N/A,615,16,0,21,12/20/2024,1511,9,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1000,4/16/2024,57,206,76.15,No,N/A,N/A,Decreasing,Premium,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1000,N/A,68,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,96.4,47.89,41.84,86,2,4.56,6.09,0.71
1000,N/A,84,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,53.27,64.45,16.75,475,1,6.43,3.06,2.5
1000,6/20/2024,88,261,74.59,Yes,Holiday,Weather,Decreasing,Premium,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1000,N/A,93,N/A,N/A,N/A,N/A,N/A,N/A,N/A,749,21,19,87,9/21/2024,1676,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1000,N/A,99,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,75.93,70.47,3.45,119,1,4.21,1.12,1.35
1001,N/A,27,N/A,N/A,N/A,N/A,N/A,N/A,N/A,777,21,8,39,3/9/2024,2727,9,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1001,N/A,47,N/A,N/A,N/A,N/A,N/A,N/A,N/A,268,18,2,165,7/8/2024,3668,11,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1001,N/A,60,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,99.07,82.7,22.76,270,2,0.02,1.63,1.51
1001,N/A,66,N/A,N/A,N/A,N/A,N/A,N/A,N/A,846,16,5,151,2/5/2024,3839,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1001,12/10/2024,78,479,79.38,Yes,N/A,N/A,Stable,Premium,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1001,2/21/2024,80,8,40.09,Yes,N/A,N/A,Decreasing,Budget,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1001,8/9/2024,96,216,86.01,Yes,Holiday,Weather,Stable,Regular,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1002,N/A,28,N/A,N/A,N/A,N/A,N/A,N/A,N/A,569,10,4,141,11/29/2024,4949,13,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1002,N/A,54,N/A,N/A,N/A,N/A,N/A,N/A,N/A,173,15,2,80,6/17/2024,3151,10,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1003,N/A,8,N/A,N/A,N/A,N/A,N/A,N/A,N/A,652,17,18,132,11/12/2024,3912,6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1003,N/A,22,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,70.08,68.72,47.68,459,2,11.86,8.34,2.16
1003,3/27/2024,40,400,64.57,Yes,Holiday,Economic Indicator,Decreasing,Regular,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
